Data,Label
دل ہی تو ہے نہ سنگ و خشت درد سے بھر نہ آئے کیوں                                              روئیں گے ہم ہزار بار کوئی ہمیں ستائے کیوں دیر نہیں حرم نہیں در نہیں آستاں نہیں بیٹھے ہیں رہ گزر پہ ہم غیر ہمیں اٹھائے کیوں جب وہ جمال دلفروز صورت مہر نیمروز آپ ہی ہو نظارہ سوز پردے میں منہ چھپائے کیوں دشنۂ غمزہ جاں ستاں ناوک ناز بے پناہ تیرا ہی عکس رخ سہی سامنے تیرے آئے کیوں قید حیات و بند غم اصل میں دونوں ایک ہیں موت سے پہلے آدمی غم سے نجات پائے کیوں حسن اور اس پہ حسن ظن رہ گئی بوالہوس کی شرم اپنے پہ اعتماد ہے غیر کو آزمائے کیوں واں وہ غرور عز و ناز یاں یہ حجاب پاس وضع راہ میں ہم ملیں کہاں بزم میں وہ بلائے کیوں ہاں وہ نہیں خدا پرست جاؤ وہ بے وفا سہی جس کو ہو دین و دل عزیز اس کی گلی میں جائے کیوں غالبؔ خستہ کے بغیر کون سے کام بند ہیں روئیے زار زار کیا کیجیے ہائے ہائے کیوں,Sad
بازیچۂ اطفال ہے دنیا مرے آگے                                                  ہوتا ہے شب و روز تماشا مرے آگے اک کھیل ہے اورنگ سلیماں مرے نزدیک اک بات ہے اعجاز مسیحا مرے آگے جز نام نہیں صورت عالم مجھے منظور جز وہم نہیں ہستیٔ اشیا مرے آگے ہوتا ہے نہاں گرد میں صحرا مرے ہوتے گھستا ہے جبیں خاک پہ دریا مرے آگے مت پوچھ کہ کیا حال ہے میرا ترے پیچھے تو دیکھ کہ کیا رنگ ہے تیرا مرے آگے سچ کہتے ہو خودبین و خود آرا ہوں نہ کیوں ہوں بیٹھا ہے بت آئنہ سیما مرے آگے پھر دیکھیے انداز گل افشانیٔ گفتار رکھ دے کوئی پیمانۂ صہبا مرے آگے نفرت کا گماں گزرے ہے میں رشک سے گزرا کیوں کر کہوں لو نام نہ ان کا مرے آگے ایماں مجھے روکے ہے جو کھینچے ہے مجھے کفر کعبہ مرے پیچھے ہے کلیسا مرے آگے عاشق ہوں پہ معشوق فریبی ہے مرا کام مجنوں کو برا کہتی ہے لیلیٰ مرے آگے خوش ہوتے ہیں پر وصل میں یوں مر نہیں جاتے آئی شب ہجراں کی تمنا مرے آگے ہے موجزن اک قلزم خوں کاش یہی ہو آتا ہے ابھی دیکھیے کیا کیا مرے آگے گو ہاتھ کو جنبش نہیں آنکھوں میں تو دم ہے رہنے دو ابھی ساغر و مینا مرے آگے ہم پیشہ و ہم مشرب و ہم راز ہے میرا غالبؔ کو برا کیوں کہو اچھا مرے آگے,Sad
یہ نہ تھی ہماری قسمت کہ وصال یار ہوتا                                                                        اگر اور جیتے رہتے یہی انتظار ہوتا ترے وعدے پر جیے ہم تو یہ جان جھوٹ جانا کہ خوشی سے مر نہ جاتے اگر اعتبار ہوتا تری نازکی سے جانا کہ بندھا تھا عہد بودا کبھی تو نہ توڑ سکتا اگر استوار ہوتا کوئی میرے دل سے پوچھے ترے تیر نیم کش کو یہ خلش کہاں سے ہوتی جو جگر کے پار ہوتا یہ کہاں کی دوستی ہے کہ بنے ہیں دوست ناصح کوئی چارہ ساز ہوتا کوئی غم گسار ہوتا رگ سنگ سے ٹپکتا وہ لہو کہ پھر نہ تھمتا جسے غم سمجھ رہے ہو یہ اگر شرار ہوتا غم اگرچہ جاں گسل ہے پہ کہاں بچیں کہ دل ہے غم عشق گر نہ ہوتا غم روزگار ہوتا کہوں کس سے میں کہ کیا ہے شب غم بری بلا ہے مجھے کیا برا تھا مرنا اگر ایک بار ہوتا ہوئے مر کے ہم جو رسوا ہوئے کیوں نہ غرق دریا نہ کبھی جنازہ اٹھتا نہ کہیں مزار ہوتا اسے کون دیکھ سکتا کہ یگانہ ہے وہ یکتا جو دوئی کی بو بھی ہوتی تو کہیں دو چار ہوتا یہ مسائل تصوف یہ ترا بیان غالبؔ تجھے ہم ولی سمجھتے جو نہ بادہ خوار ہوتا,Sad
ہر ایک بات پہ کہتے ہو تم کہ تو کیا ہے                                                تمہیں کہو کہ یہ انداز گفتگو کیا ہے نہ شعلہ میں یہ کرشمہ نہ برق میں یہ ادا کوئی بتاؤ کہ وہ شوخ تند خو کیا ہے یہ رشک ہے کہ وہ ہوتا ہے ہم سخن تم سے وگرنہ خوف بد آموزی عدو کیا ہے چپک رہا ہے بدن پر لہو سے پیراہن ہمارے جیب کو اب حاجت رفو کیا ہے جلا ہے جسم جہاں دل بھی جل گیا ہوگا کریدتے ہو جو اب راکھ جستجو کیا ہے رگوں میں دوڑتے پھرنے کے ہم نہیں قائل جب آنکھ ہی سے نہ ٹپکا تو پھر لہو کیا ہے   وہ چیز جس کے لیے ہم کو ہو بہشت عزیز سوائے بادۂ گلفام مشک بو کیا ہے پیوں شراب اگر خم بھی دیکھ لوں دو چار یہ شیشہ و قدح و کوزہ و سبو کیا ہے رہی نہ طاقت گفتار اور اگر ہو بھی تو کس امید پہ کہیے کہ آرزو کیا ہے  ہوا ہے شہہ کا مصاحب پھرے ہے اتراتا وگرنہ شہر میں غالبؔ کی آبرو کیا ہے,Sad
ہزاروں خواہشیں ایسی کہ ہر خواہش پہ دم نکلے                                                     بہت نکلے مرے ارمان لیکن پھر بھی کم نکلے ڈرے کیوں میرا قاتل کیا رہے گا اس کی گردن پر وہ خوں جو چشم تر سے عمر بھر یوں دم بدم نکلے نکلنا خلد سے آدم کا سنتے آئے ہیں لیکن بہت بے آبرو ہو کر ترے کوچے سے ہم نکلے بھرم کھل جائے ظالم تیرے قامت کی درازی کا اگر اس طرۂ پر پیچ و خم کا پیچ و خم نکلے مگر لکھوائے کوئی اس کو خط تو ہم سے لکھوائے ہوئی صبح اور گھر سے کان پر رکھ کر قلم نکلے ہوئی اس دور میں منسوب مجھ سے بادہ آشامی پھر آیا وہ زمانہ جو جہاں میں جام جم نکلے ہوئی جن سے توقع خستگی کی داد پانے کی وہ ہم سے بھی زیادہ خستۂ تیغ ستم نکلے محبت میں نہیں ہے فرق جینے اور مرنے کا اسی کو دیکھ کر جیتے ہیں جس کافر پہ دم نکلے کہاں مے خانہ کا دروازہ غالبؔ اور کہاں واعظ پر اتنا جانتے ہیں کل وہ جاتا تھا کہ ہم نکلے,Sad
کوئی امید بر نہیں آتی                                                                                                                  کوئی صورت نظر نہیں آتی موت کا ایک دن معین ہے                                                    نیند کیوں رات بھر نہیں آتی آگے آتی تھی حال دل پہ ہنسی اب کسی بات پر نہیں آتی جانتا ہوں ثواب طاعت و زہد پر طبیعت ادھر نہیں آتی ہے کچھ ایسی ہی بات جو چپ ہوں ورنہ کیا بات کر نہیں آتی کیوں نہ چیخوں کہ یاد کرتے ہیں میری آواز گر نہیں آتی داغ دل گر نظر نہیں آتا بو بھی اے چارہ گر نہیں آتی ہم وہاں ہیں جہاں سے ہم کو بھی کچھ ہماری خبر نہیں آتی مرتے ہیں آرزو میں مرنے کی موت آتی ہے پر نہیں آتی کعبہ کس منہ سے جاوگے غالبؔ شرم تم کو مگر نہیں آتی آہ کو چاہیے اک عمر اثر ہوتے تک کون جیتا ہے تری زلف کے سر ہوتے تک دام ہر موج میں ہے حلقۂ صد کام نہنگ دیکھیں کیا گزرے ہے قطرے پہ گہر ہوتے تک عاشقی صبر طلب اور تمنا بیتاب دل کا کیا رنگ کروں خون جگر ہوتے تک تا قیامت شب فرقت میں گزر جائے گی عمر سات دن ہم پہ بھی بھاری ہیں سحر ہوتے تک ہم نے مانا کہ تغافل نہ کرو گے لیکن خاک ہو جائیں گے ہم تم کو خبر ہوتے تک پرتو خور سے ہے شبنم کو فنا کی تعلیم میں بھی ہوں ایک عنایت کی نظر ہوتے تک یک نظر بیش نہیں فرصت ہستی غافل گرمیٔ بزم ہے اک رقص شرر ہوتے تک غم ہستی کا اسدؔ کس سے ہو جز مرگ علاج شمع ہر رنگ میں جلتی ہے سحر ہوتے تک,Sad
دل ناداں تجھے ہوا کیا ہے                                                                   آخر اس درد کی دوا کیا ہے ہم ہیں مشتاق اور وہ بیزار یا الٰہی یہ ماجرا کیا ہے میں بھی منہ میں زبان رکھتا ہوں کاش پوچھو کہ مدعا کیا ہے جب کہ تجھ بن نہیں کوئی موجود پھر یہ ہنگامہ اے خدا کیا ہے یہ پری چہرہ لوگ کیسے ہیں غمزہ و عشوہ و ادا کیا ہے شکن زلف عنبریں کیوں ہے نگہ چشم سرمہ سا کیا ہے سبزہ و گل کہاں سے آئے ہیں ابر کیا چیز ہے ہوا کیا ہے ہم کو ان سے وفا کی ہے امید جو نہیں جانتے وفا کیا ہے ہاں بھلا کر ترا بھلا ہوگا اور درویش کی صدا کیا ہے جان تم پر نثار کرتا ہوں میں نہیں جانتا دعا کیا ہے میں نے مانا کہ کچھ نہیں غالبؔ مفت ہاتھ آئے تو برا کیا ہے,Sad
س بوجھ سے جسم ٹوٹتا ہے                                                                   اتنا تو کڑا سفر نہیں تھا وہ چار قدم کا فاصلہ کیا پھر راہ سے بے خبر نہیں تھا لیکن یہ تھکن یہ لڑکھڑاہٹ یہ حال تو عمر بھر نہیں تھا آغاز سفر میں جب چلے تھے کب ہم نے کوئی دیا جلایا کب عہد وفا کی بات کی تھی کب ہم نے کوئی فریب کھایا وہ شام وہ چاندنی وہ خوشبو منزل کا کسے خیال آیا تو محو سخن تھی مجھ سے لیکن میں سوچ کے جال بن رہا تھا میرے لیے زندگی تڑپ تھی تیرے لیے غم بھی قہقہہ تھا اب تجھ سے بچھڑ کے سوچتا ہوں کچھ تو نے کہا تھا! کیا کہا تھ,Sad
وہ کیسا شعبدہ گر تھا                                                                                                                       جو مصنوعی ستاروں اور نقلی سورجوں کی اک جھلک دکھلا کے میرے سادہ دل لوگوں کی آنکھوں کے دیئے ہونٹوں کے جگنو لے گیا اور اب یہ عالم ہے کہ میرے شہر کا ہر اک مکاں اک غار کی مانند محروم نوا ہے اور ہنستا بولتا ہر شخص اک دیوار گریہ ہے,Sad
یسے چپ ہیں کہ یہ منزل بھی کڑی ہو جیسا ا                                                                                          تیرا ملنا بھی جدائی کی گھڑی ہو جیسے اپنے ہی سائے سے ہر گام لرز جاتا ہوں راستے میں کوئی دیوار کھڑی ہو جیسے کتنے ناداں ہیں ترے بھولنے والے کہ تجھے یاد کرنے کے لیے عمر پڑی ہو جیسے تیرے ماتھے کی شکن پہلے بھی دیکھی تھی مگر یہ گرہ اب کے مرے دل میں پڑی ہو جیسے منزلیں دور بھی ہیں منزلیں نزدیک بھی ہیں اپنے ہی پاؤں میں زنجیر پڑی ہو جیسے آج دل کھول کے روئے ہیں تو یوں خوش ہیں فرازؔ چند لمحوں کی یہ راحت بھی بڑی ہو جیس,Sad
اتنا سناٹا کہ جیسے ہو سکوت صحرا                                                                                                        ایسی تاریکی کہ آنکھوں نے دہائی دی ہے جانے زنداں سے ادھر کون سے منظر ہوں گے مجھ کو دیوار ہی دیوار دکھائی دی ہے دور اک فاختہ بولی ہے بہت دور کہیں پہلی آواز محبت کی سنائی دی ہے سلسلے توڑ گیا وہ سبھی جاتے جاتے ورنہ اتنے تو مراسم تھے کہ آتے جاتے شکوۂ ظلمت شب سے تو کہیں بہتر تھا اپنے حصے کی کوئی شمع جلاتے جاتے کتنا آساں تھا ترے ہجر میں مرنا جاناں پھر بھی اک عمر لگی جان سے جاتے جاتے جشن مقتل ہی نہ برپا ہوا ورنہ ہم بھی پا بجولاں ہی سہی ناچتے گاتے جاتے اس کی وہ جانے اسے پاس وفا تھا کہ نہ تھا تم فرازؔ اپنی طرف سے تو نبھاتے جاتے,Sad
سبھی کہیں مرے غم خوار کے علاوہ بھی                                                                                                   کوئی تو بات کروں یار کے علاوہ بھی بہت سے ایسے ستم گر تھے اب جو یاد نہیں کسی حبیب دل آزار کے علاوہ بھی یہ کیا کہ تم بھی سر راہ حال پوچھتے ہو کبھی ملو ہمیں بازار کے علاوہ بھی اجاڑ گھر میں یہ خوشبو کہاں سے آئی ہے کوئی تو ہے در و دیوار کے علاوہ بھی سو دیکھ کر ترے رخسار و لب یقیں آیا کہ پھول کھلتے ہیں گل زار کے علاوہ بھی کبھی فرازؔ سے آ کر ملو جو وقت ملے یہ شخص خوب ہے اشعار کے علاوہ بھی,Sad
سب لوگ لیے سنگ ملامت نکل آئے                                                                کس شہر میں ہم اہل محبت نکل آئے اب دل کی تمنا ہے تو اے کاش یہی ہو آنسو کی جگہ آنکھ سے حسرت نکل آئے ہر گھر کا دیا گل نہ کرو تم کہ نہ جانے کس بام سے خورشید قیامت نکل آئے جو درپئے پندار ہیں ان قتل گہوں سے جاں دے کے بھی سمجھو کہ سلامت نکل آئے اے ہم نفسو کچھ تو کہو عہد ستم کی اک حرف سے ممکن ہے حکایت نکل آئے یارو مجھے مصلوب کرو تم کہ مرے بعد شاید کہ تمہارا قد و قامت نکل آئے سامنے اس کے کبھی اس کی ستائش نہیں کی دل نے چاہا بھی اگر ہونٹوں نے جنبش نہیں کی اہل محفل پہ کب احوال کھلا ہے اپنا میں بھی خاموش رہا اس نے بھی پرسش نہیں کی جس قدر اس سے تعلق تھا چلا جاتا ہے اس کا کیا رنج ہو جس کی کبھی خواہش نہیں کی یہ بھی کیا کم ہے کہ دونوں کا بھرم قائم ہے اس نے بخشش نہیں کی ہم نے گزارش نہیں کی اک تو ہم کو ادب آداب نے پیاسا رکھا اس پہ محفل میں صراحی نے بھی گردش نہیں کی ہم کہ دکھ اوڑھ کے خلوت میں پڑے رہتے ہیں ہم نے بازار میں زخموں کی نمائش نہیں کی اے مرے ابر کرم دیکھ یہ ویرانۂ جاں کیا کسی دشت پہ تو نے کبھی بارش نہیں کی کٹ مرے اپنے قبیلے کی حفاظت کے لیے مقتل شہر میں ٹھہرے رہے جنبش نہیں کی وہ ہمیں بھول گیا ہو تو عجب کیا ہے فرازؔ ہم نے بھی میل ملاقات کی کوشش نہیں کی,Sad
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
ساقیا ایک نظر جام سے پہلے پہلے                                                                    ہم کو جانا ہے کہیں شام سے پہلے پہلے نو گرفتار وفا سعئ رہائی ہے عبث ہم بھی الجھے تھے بہت دام سے پہلے پہلے خوش ہو اے دل کہ محبت تو نبھا دی تو نے لوگ اجڑ جاتے ہیں انجام سے پہلے پہلے اب ترے ذکر پہ ہم بات بدل دیتے ہیں کتنی رغبت تھی ترے نام سے پہلے پہلے سامنے عمر پڑی ہے شب تنہائی کی وہ مجھے چھوڑ گیا شام سے پہلے پہلے کتنا اچھا تھا کہ ہم بھی جیا کرتے تھے فرازؔ غیر معروف سے گمنام سے پہلے پہلے,Sad
,
,
,
,
,
,
,
,
,
,
,
سارا شہر بلکتا ہے                                                                                پھر بھی کیسا سکتہ ہے گلیوں میں بارود کی بو یا پھر خون مہکتا ہے سب کے بازو یخ بستہ سب کا جسم دہکتا ہے ایک سفر وہ ہے جس میں پاؤں نہیں دل تھکتا ہے زندگی سے یہی گلہ ہے مجھے تو بہت دیر سے ملا ہے مجھے تو محبت سے کوئی چال تو چل ہار جانے کا حوصلہ ہے مجھے دل دھڑکتا نہیں ٹپکتا ہے کل جو خواہش تھی آبلہ ہے مجھے ہم سفر چاہیئے ہجوم نہیں اک مسافر بھی قافلہ ہے مجھے کوہ کن ہو کہ قیس ہو کہ فرازؔ سب میں اک شخص ہی ملا ہے مجھے,Sad
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
رات کے پچھلے پہر رونے کے عادی روئے                                                                  آپ آئے بھی مگر رونے کے عادی روئے ان کے آ جانے سے کچھ تھم سے گئے تھے آنسو ان کے جاتے ہی مگر رونے کے عادی روئے ہائے پابندیٔ آداب تری محفل کی کہ سر راہ گزر رونے کے عادی روئے ایک تقریب تبسم تھی بہاراں لیکن پھر بھی آنکھیں ہوئیں تر رونے کے عادی روئے درد مندوں کو کہیں بھی تو قرار آ نہ سکا کوئی صحرا ہو کہ گھر رونے کے عادی روئے اے فرازؔ ایسے میں برسات کٹے گی کیوں کر گر یوں ہی شام و سحر رونے کے عادی روئے,Sad
,
,
,
,
,
,
,
,
,
,
,
اپنی ہی آواز کو بے شک کان میں رکھنا                                                                                                              لیکن شہر کی خاموشی بھی دھیان میں رکھنا میرے جھوٹ کو کھولو بھی اور تولو بھی تم لیکن اپنے سچ کو بھی میزان میں رکھنا کل تاریخ یقیناً خود کو دہرائے گی آج کے اک اک منظر کو پہچان میں رکھنا بزم میں یاروں کی شمشیر لہو میں تر ہے رزم میں لیکن تلوار کو میان میں رکھنا آج تو اے دل ترک تعلق پر تم خوش ہو کل کے پچھتاوے کو بھی امکان میں رکھنا اس دریا سے آگے ایک سمندر بھی ہے اور وہ بے ساحل ہے یہ بھی دھیان میں رکھنا اس موسم میں گل دانوں کی رسم کہاں ہے لوگو اب پھولوں کو آتش دان میں رکھن,Sad
,
,
,
,
,
,
,
,
,
,
,
,
,
دل گرفتہ ہی سہی بزم سجا لی جائے                                                                    یاد جاناں سے کوئی شام نہ خالی جائے رفتہ رفتہ یہی زنداں میں بدل جاتے ہیں اب کسی شہر کی بنیاد نہ ڈالی جائے مصحف رخ ہے کسی کا کہ بیاض حافظ ایسے چہرے سے کبھی فال نکالی جائے وہ مروت سے ملا ہے تو جھکا دوں گردن میرے دشمن کا کوئی وار نہ خالی جائے بے نوا شہر کا سایہ ہے مرے دل پہ فرازؔ کس طرح سے مری آشفتہ خیالی جائے,Sad
,
,
,
,
,
,
,
,
,
بیٹھے تھے لوگ پہلو بہ پہلو پیے ہوئے                                                                     اک ہم تھے تیری بزم میں آنسو پیے ہوئے دیکھا جسے بھی اس کی محبت میں مست تھا جیسے تمام شہر ہو دارو پیے ہوئے تکرار بے سبب تو نہ تھی رند و شیخ میں کرتے بھی کیا شراب تھے ہر دو پیے ہوئے پھر کیا عجب کہ لوگ بنا لیں کہانیاں کچھ میں نشے میں چور تھا کچھ تو پیے ہوئے یوں ان لبوں کے مس سے معطر ہوں جس طرح وہ نو بہار ناز تھا خوشبو پیے ہوئے یوں ہو اگر فرازؔ تو تصویر کیا بنے اک شام اس کے ساتھ لب جو پیے ہوئے,Sad
,
,
,
,
,
,
,
,
,
,
,
ایسا ہے کہ سب خواب مسلسل نہیں ہوتے                                                                 جو آج تو ہوتے ہیں مگر کل نہیں ہوتے   اندر کی فضاؤں کے کرشمے بھی عجب ہیں مینہ ٹوٹ کے برسے بھی تو بادل نہیں ہوتے کچھ مشکلیں ایسی ہیں کہ آساں نہیں ہوتیں کچھ ایسے معمے ہیں کبھی حل نہیں ہوتے شائستگیٔ غم کے سبب آنکھوں کے صحرا نمناک تو ہو جاتے ہیں جل تھل نہیں ہوتے کیسے ہی تلاطم ہوں مگر قلزم جاں میں کچھ یاد جزیرے ہیں کہ اوجھل نہیں ہوتے عشاق کے مانند کئی اہل ہوس بھی پاگل تو نظر آتے ہیں پاگل نہیں ہوتے سب خواہشیں پوری ہوں فرازؔ ایسا نہیں ہے جیسے کئی اشعار مکمل نہیں ہوتے,Sad
,
,
,
,
,
,
,
,
,
,
,
,
,
اگرچہ زور ہواؤں نے ڈال رکھا ہے                                                                         مگر چراغ نے لو کو سنبھال رکھا ہے محبتوں میں تو ملنا ہے یا اجڑ جانا مزاج عشق میں کب اعتدال رکھا ہے ہوا میں نشہ ہی نشہ فضا میں رنگ ہی رنگ یہ کس نے پیرہن اپنا اچھال رکھا ہے بھلے دنوں کا بھروسا ہی کیا رہیں نہ رہیں سو میں نے رشتۂ غم کو بحال رکھا ہے ہم ایسے سادہ دلوں کو وہ دوست ہو کہ خدا سبھی نے وعدۂ فردا پہ ٹال رکھا ہے حساب لطف حریفاں کیا ہے جب تو کھلا کہ دوستوں نے زیادہ خیال رکھا ہے بھری بہار میں اک شاخ پر کھلا ہے گلاب کہ جیسے تو نے ہتھیلی پہ گال رکھا ہے فرازؔ عشق کی دنیا تو خوبصورت تھی یہ کس نے فتنۂ ہجر و وصال رکھا ہے,Sad
,
,
,
,
,
,
